basis {:count 191738, :max-at "2026-08-30T19:35:18.668154294Z"}
| section | patterns | any | clean | clean-non-reflection |
|---|---:|---:|---:|---:|
| musn | 17 | 17 | 3 | 2 |
| or2 | 11 | 11 | 0 | 0 |
| peripherals | 11 | 11 | 10 | 10 |
| plos-npt-with-small-n | 22 | 21 | 1 | 1 |
| realtime | 13 | 13 | 2 | 2 |
| sidecar | 12 | 12 | 4 | 3 |
| storage | 21 | 21 | 1 | 1 |
| structure | 11 | 11 | 6 | 6 |
| system-coherence | 16 | 16 | 8 | 4 |
| ukrns | 26 | 26 | 1 | 1 |
| vsatlas | 23 | 23 | 0 | 0 |
| war-machine | 10 | 10 | 4 | 4 |
| war-room | 28 | 28 | 25 | 17 |
