# pattern	okipona	truth	rationale	hotwords
ai4ci/ai-core-function		术	AI Incorporation — Core Function -> unknown/术: This deployment keeps AI in the role of suggestion engine while ensuring that every retained explanation has a traceable record and a human steward, turning dispersed expository text into candidate reasoning scaffolds that future training-oriented AI could build on.	ai, incorporation, core, function, ai4ci, deployment, keeps, role, suggestion, engine
ai4ci/ai-method-role		术	AI Incorporation — Methodological Role -> unknown/术: Methodological validity in this setting depends on showing that human judgement governs every explanation and that the resulting log reveals which explanation types AI handles reliably and which remain beyond its current competence.	ai, incorporation, methodological, role, ai4ci, method, validity, setting, depends, showing
ai4ci/collective-intelligence-evaluation		群	Collective Intelligence — Evaluative Lens -> unknown/群: Collective intelligence is evidenced when diverse readers reach a workable shared understanding of the argument; only structured discussion around common artefacts can reveal whether the extracted reasoning cues support this outcome.	collective, intelligence, evaluative, lens, ai4ci, evaluation, evidenced, when, diverse, readers
ai4ci/collective-intelligence-framing		群	Collective Intelligence — Communication Framing -> unknown/群: Collective intelligence depends on inspectable, cross-referenced intermediate artefacts; without them, seminars slide back into folklore and private interpretations instead of testing and refining the shared reasoning layer.	collective, intelligence, communication, framing, ai4ci, depends, inspectable, cross, referenced, intermediate
ai4ci/dual-layer-proof-patterns		双	Dual-Layer Proof Patterns as a Feasibility Question -> unknown/双: Human-validated cue logs and coded seminar transcripts provide evidence—not speculation—about which pattern fragments are stable, which are fragile, and what methodological constraints govern scalability.	dual, layer, proof, patterns, feasibility, question, ai4ci, human, validated, cue
ai4ci/funding-justification		度	Funding Justification — Rapid-Response Pilot Scale -> unknown/度: Reviewers need to see that the funds unlock a focused test of the reasoning-layer hypothesis, not an open-ended attempt to build a new platform.	funding, justification, rapid, response, pilot, scale, ai4ci, reviewers, need, see
ai4ci/pilot-feasibility		程	Feasibility — Six-Month Pilot Discipline -> unknown/程: Dhammavicaya (keen investigation) in this context demands evidence that the pilot answers a clear methodological question—whether a recoverable reasoning layer exists—rather than attempting production-grade systems.	feasibility, six, month, pilot, discipline, ai4ci, dhammavicaya, keen, investigation, context
ai4ci/process-vs-exposition		析	Process and Exposition as Complementary Evidence -> unknown/析: Process cues reveal the reasoning that originally generated the proof, while expository cues reveal how experts communicate that reasoning to others; the combination provides the richest available evidence for reconstructing mid-level structure without requiring access to the original scratch work.	process, exposition, complementary, evidence, ai4ci, vs, cues, reveal, reasoning, originally
ai4ci/project-summary-core		索	AI4CI — Mid-Level Reasoning Pilot -> unknown/索: Once we know whether a stable mid-level reasoning layer can be captured from exposition—and where it breaks down—we can state clearly what kind of process-level data will be needed for future AI that aims to train humans, and what cannot be obtained from textual traces alone.	ai4ci, mid, level, reasoning, pilot, project, summary, core, once, know
ai4ci/proof-pattern-hierarchy		纹	Proof Patterns as a Hypothesised Mid-Level Hierarchy -> unknown/纹: If such fragments can be identified and linked to specific objects and steps, they provide the first empirical foothold on an underlying proof- pattern hierarchy, even if only at a local scale. If they cannot, this reveals real limits on what present methods can recover.	proof, patterns, hypothesised, mid, level, hierarchy, ai4ci, pattern, such, fragments
ai4ci/sota-distinction		术	Distinguishing This Project from Current Mathematical AI SOTA -> unknown/术: Explanation and understanding depend on reconstructing intermediate motivations and relationships, not on producing correct final answers. Current SOTA models offer limited guidance here, leaving a gap that this pilot is uniquely positioned to explore.	distinguishing, project, current, mathematical, ai, sota, ai4ci, distinction, explanation, understanding
